                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.0413,                 3.9125,                 4.2776,                      0,                      0,                      0,                      0,                 6.4799,                 3.7885,                 4.1566,                 0.0973,                 0.0003,                 0.0003
                      2,                 5.9686,                 3.7773,                 4.1324,                0.00063,                0.01294,                0.00032,                  7e-05,                 6.1277,                 3.2578,                 3.6448,               0.093699,             0.00069931,             0.00069931
                      3,                 5.2924,                 3.1841,                 3.5455,                0.00155,                0.03176,                0.00084,                0.00024,                 5.3485,                 2.9434,                 3.1511,               0.090098,              0.0010978,              0.0010978
                      4,                 4.5716,                 2.8372,                 3.1222,                0.00368,                0.07529,                0.00199,                0.00046,                 4.6444,                 2.6944,                  2.864,               0.086496,              0.0014955,              0.0014955
                      5,                 4.0776,                 2.7297,                 2.7558,                0.00471,                0.09647,                0.00258,                0.00079,                 3.9673,                 2.6025,                 2.6252,               0.082892,              0.0018925,              0.0018925
                      6,                 3.8727,                  2.699,                 2.5336,                0.00661,                0.13529,                0.00376,                0.00122,                 3.8142,                 2.6627,                 2.4139,               0.079289,              0.0022886,              0.0022886
                      7,                 3.8231,                 2.6564,                 2.3509,                 0.0096,                0.19647,                0.00576,                0.00172,                 3.7184,                 2.8647,                 2.2444,               0.075684,               0.002684,               0.002684
                      8,                 3.7287,                 2.5625,                 2.2042,                0.01368,                   0.28,                0.00876,                0.00252,                 3.6761,                 3.0934,                 2.1798,               0.072079,              0.0030785,              0.0030785
                      9,                 3.6558,                 2.5161,                  2.127,                0.00816,                0.16706,                0.00477,                0.00129,                 3.7239,                 3.2178,                 2.2146,               0.068472,              0.0034723,              0.0034723
                     10,                 3.6385,                 2.3856,                 2.0926,                0.00523,                0.10706,                 0.0029,                0.00086,                  3.798,                 3.2701,                 2.2901,               0.064865,              0.0038653,              0.0038653
                     11,                 3.5743,                 2.3444,                 2.1037,                 0.0092,                0.18824,                0.00546,                 0.0015,                 3.7953,                 3.2523,                 2.2802,               0.061257,              0.0042574,              0.0042574
                     12,                 3.5493,                 2.2233,                 2.0148,                0.01057,                0.21647,                0.00644,                0.00173,                 3.7821,                 3.2947,                 2.2611,               0.057649,              0.0046488,              0.0046488
                     13,                 3.4254,                 2.1577,                   1.98,                0.00736,                0.15059,                0.00428,                0.00125,                 3.7582,                 3.3423,                 2.1913,               0.054039,              0.0050394,              0.0050394
                     14,                 3.3551,                 2.0916,                 1.9306,                0.00241,                0.04941,                0.00127,                0.00031,                 3.7329,                 3.4712,                 2.1479,               0.050429,              0.0054292,              0.0054292
                     15,                 3.2777,                 2.0652,                 1.8989,                0.00057,                0.01176,                0.00029,                  6e-05,                 3.7666,                 3.5453,                 2.2093,               0.046818,              0.0058182,              0.0058182
                     16,                 3.1673,                  1.991,                 1.8746,                0.00057,                0.01176,                0.00029,                  6e-05,                 3.6739,                 3.7514,                 2.0409,               0.043206,              0.0062064,              0.0062064
                     17,                  3.105,                 1.8997,                 1.8385,                0.02027,                0.17059,                0.01947,                0.00468,                 3.7652,                 3.8072,                 2.0688,               0.039594,              0.0065939,              0.0065939
                     18,                 2.9868,                 1.8452,                 1.8139,                0.00741,                0.14941,                0.00515,                 0.0012,                 4.1014,                 3.8715,                 2.3845,               0.035981,              0.0069805,              0.0069805
                     19,                 2.9741,                 1.8588,                 1.7933,                0.01471,                0.30118,                0.01532,                0.00327,                  3.971,                 2.9349,                 2.1215,               0.032366,              0.0073663,              0.0073663
                     20,                  2.916,                  1.799,                 1.7477,                0.00557,                0.11412,                0.00355,                0.00078,                 4.1007,                 3.5056,                 2.1009,               0.028751,              0.0077514,              0.0077514
                     21,                 2.8346,                 1.7806,                 1.7091,                0.00126,                0.02588,                0.00066,                0.00014,                  4.243,                 3.4649,                 1.9951,               0.025136,              0.0081357,              0.0081357
                     22,                 2.7825,                 1.7368,                  1.706,                0.00416,                0.07059,                0.00319,                0.00064,                 4.0502,                   4.44,                 2.0241,               0.021519,              0.0085191,              0.0085191
                     23,                 2.7502,                  1.718,                 1.6556,                0.06753,                0.04353,                0.01807,                0.00437,                 3.8681,                 3.4253,                 1.8951,               0.017902,              0.0089018,              0.0089018
                     24,                 2.6912,                 1.7119,                 1.6683,                0.06581,                0.06471,                0.01729,                0.00383,                 3.7687,                 2.9663,                 1.7213,               0.014284,              0.0092837,              0.0092837
                     25,                 2.6837,                 1.6837,                 1.6352,                0.08906,                0.11059,                0.04314,                 0.0104,                 3.6604,                 2.5211,                 1.7794,               0.010665,              0.0096648,              0.0096648
                     26,                 2.6474,                   1.65,                 1.6354,                 0.2001,                0.32588,                0.14169,                0.04274,                  2.878,                 2.3323,                 1.6882,              0.0097525,              0.0097525,              0.0097525
                     27,                 2.6387,                 1.6478,                 1.6221,                0.14177,                0.15765,                0.07355,                0.01728,                 3.6595,                 2.2957,                 2.1404,              0.0097525,              0.0097525,              0.0097525
                     28,                  2.609,                 1.6256,                 1.6005,                0.27718,                0.25882,                0.18627,                0.05573,                 2.8605,                 2.2099,                 1.7388,              0.0097426,              0.0097426,              0.0097426
                     29,                 2.5918,                 1.6008,                 1.6051,                0.24427,                0.24941,                0.18098,                0.05533,                 2.9657,                 2.2172,                 1.7398,              0.0097327,              0.0097327,              0.0097327
                     30,                 2.5447,                 1.5961,                  1.563,                0.33023,                0.34235,                0.26637,                0.08715,                 2.6191,                 1.8993,                 1.6838,              0.0097228,              0.0097228,              0.0097228
                     31,                 2.5002,                 1.5751,                 1.5544,                 0.2224,                0.35412,                0.15704,                0.04694,                 2.7128,                 2.6688,                 1.7734,              0.0097129,              0.0097129,              0.0097129
                     32,                 2.5257,                 1.5492,                 1.5508,                0.19456,                0.40952,                0.14016,                0.04704,                 2.6668,                 2.6949,                 1.7769,               0.009703,               0.009703,               0.009703
                     33,                 2.4749,                 1.5523,                 1.5635,                0.36111,                0.39765,                0.30794,                0.10443,                 2.5821,                  1.693,                 1.7059,              0.0096931,              0.0096931,              0.0096931
                     34,                  2.475,                 1.5551,                 1.5437,                0.30838,                0.33529,                0.25739,                 0.0775,                 2.8131,                 1.7482,                  1.765,              0.0096832,              0.0096832,              0.0096832
                     35,                 2.4508,                 1.5411,                 1.5336,                0.36031,                0.42588,                0.31617,                0.10569,                 2.5314,                 1.6429,                 1.6639,              0.0096733,              0.0096733,              0.0096733
                     36,                 2.4217,                 1.5221,                 1.5169,                0.38484,                0.41412,                0.32741,                0.10927,                  2.508,                  1.638,                 1.6362,              0.0096634,              0.0096634,              0.0096634
                     37,                 2.3983,                 1.4767,                 1.4988,                0.41837,                0.38706,                 0.3553,                0.11993,                 2.5258,                 1.5977,                 1.6299,              0.0096535,              0.0096535,              0.0096535
                     38,                 2.3835,                 1.4847,                 1.5086,                0.40926,                0.36824,                  0.318,                0.10943,                 2.4781,                 1.6059,                 1.6151,              0.0096436,              0.0096436,              0.0096436
                     39,                 2.4085,                 1.4799,                 1.5043,                0.31723,                0.36588,                0.26139,                0.08493,                 2.4583,                 1.8484,                  1.608,              0.0096337,              0.0096337,              0.0096337
                     40,                 2.3775,                 1.5024,                 1.5112,                  0.482,                 0.4149,                0.39552,                0.13978,                 2.3643,                 1.4978,                 1.5369,              0.0096238,              0.0096238,              0.0096238
                     41,                 2.3468,                 1.4751,                 1.5006,                0.43643,                0.47176,                  0.411,                 0.1487,                 2.3851,                 1.5443,                 1.5635,              0.0096139,              0.0096139,              0.0096139
                     42,                 2.3465,                 1.4406,                 1.4873,                0.45581,                0.45294,                0.39571,                0.14374,                 2.3972,                 1.4819,                 1.5525,               0.009604,               0.009604,               0.009604
                     43,                 2.2902,                 1.4257,                 1.4807,                0.48021,                0.40941,                0.39379,                0.14236,                 2.4183,                 1.5922,                 1.6125,              0.0095941,              0.0095941,              0.0095941
                     44,                  2.302,                 1.4368,                 1.4697,                0.46458,                0.41446,                0.37786,                0.12177,                 2.5048,                 1.6507,                 1.6013,              0.0095842,              0.0095842,              0.0095842
                     45,                 2.3036,                 1.4401,                 1.4601,                0.53473,                0.44824,                0.45642,                0.16993,                 2.3012,                 1.4217,                 1.5134,              0.0095743,              0.0095743,              0.0095743
                     46,                 2.2804,                 1.4197,                 1.4584,                0.53051,                0.45647,                0.47531,                0.15913,                 2.4362,                 1.4548,                 1.5751,              0.0095644,              0.0095644,              0.0095644
                     47,                 2.2773,                 1.4228,                 1.4453,                0.53914,                0.51412,                0.49433,                 0.1927,                 2.2872,                 1.3447,                 1.5322,              0.0095545,              0.0095545,              0.0095545
