                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.0724,                  3.856,                  4.257,                      0,                      0,                      0,                      0,                 6.4794,                 3.7941,                 4.1571,                 0.0973,                 0.0003,                 0.0003
                      2,                 5.8612,                  3.677,                 4.1032,                0.00052,                0.01059,                0.00028,                  5e-05,                 6.1308,                 3.2051,                 3.6124,               0.093699,             0.00069931,             0.00069931
                      3,                 5.1808,                  2.996,                  3.473,                0.00299,                0.06118,                0.00184,                0.00036,                 5.2683,                 2.7772,                  3.075,               0.090098,              0.0010978,              0.0010978
                      4,                 4.2796,                 2.5815,                 2.9998,                0.01425,                0.29176,                0.01087,                0.00284,                 4.2466,                 2.6191,                 2.6921,               0.086496,              0.0014955,              0.0014955
                      5,                 3.9548,                 2.5671,                 2.7011,                0.02155,                0.44118,                  0.016,                0.00433,                 3.8756,                 2.6342,                 2.5097,               0.082892,              0.0018925,              0.0018925
                      6,                 3.8739,                 2.4935,                 2.4815,                0.01351,                0.27647,                0.00865,                0.00253,                  3.815,                  2.789,                 2.3314,               0.079289,              0.0022886,              0.0022886
                      7,                 3.7623,                 2.4747,                 2.2778,                0.01552,                0.31765,                0.01023,                 0.0031,                  3.721,                 2.9891,                 2.2433,               0.075684,               0.002684,               0.002684
                      8,                 3.7195,                 2.2812,                 2.1609,                0.01661,                   0.34,                0.01126,                0.00344,                 3.6698,                 3.0986,                 2.1491,               0.072079,              0.0030785,              0.0030785
                      9,                 3.6553,                 2.1852,                 2.1184,                0.01397,                0.28588,                0.01087,                0.00334,                 3.6471,                 3.1095,                 2.1047,               0.068472,              0.0034723,              0.0034723
                     10,                 3.5311,                 2.0948,                 2.0507,                0.01483,                0.30353,                 0.0117,                0.00347,                  3.623,                 3.0615,                 2.0611,               0.064865,              0.0038653,              0.0038653
                     11,                 3.4207,                 2.0138,                 1.9719,                0.01172,                   0.24,                0.01496,                0.00407,                 3.6135,                 2.7537,                 2.0348,               0.061257,              0.0042574,              0.0042574
                     12,                 3.3216,                 1.9754,                 1.9345,                0.00948,                0.19412,                0.01537,                0.00639,                 3.6223,                 2.9886,                 2.0362,               0.057649,              0.0046488,              0.0046488
                     13,                 3.2269,                 1.9508,                 1.8935,                0.00787,                0.16118,                0.00786,                0.00202,                 3.6671,                  3.153,                 2.0865,               0.054039,              0.0050394,              0.0050394
                     14,                 3.1403,                 1.9058,                  1.839,                0.00828,                0.16941,                0.00793,                0.00209,                  3.653,                 2.9113,                  2.065,               0.050429,              0.0054292,              0.0054292
                     15,                 3.1273,                  1.883,                  1.802,                0.04189,                0.08941,                0.01453,                0.00328,                 3.7106,                  3.056,                 2.0943,               0.046818,              0.0058182,              0.0058182
                     16,                 3.0096,                 1.8424,                 1.7529,                0.03108,                0.04235,                0.00867,                0.00196,                 3.7779,                 3.5322,                 2.1359,               0.043206,              0.0062064,              0.0062064
                     17,                 2.9753,                 1.7883,                 1.7418,                0.04269,                0.02941,                 0.0079,                0.00183,                 3.7884,                 3.7027,                 2.1641,               0.039594,              0.0065939,              0.0065939
                     18,                 2.9052,                 1.7474,                 1.7051,                0.01041,                0.15059,                0.01017,                0.00248,                 3.7272,                 3.7429,                 2.1214,               0.035981,              0.0069805,              0.0069805
                     19,                 2.8332,                  1.714,                 1.6916,                0.24063,                0.05647,                 0.0577,                0.01648,                 3.4837,                 3.1252,                 1.9641,               0.032366,              0.0073663,              0.0073663
                     20,                 2.7742,                 1.6618,                 1.6621,                0.15715,                0.12353,                0.06948,                0.01867,                 3.4662,                 2.5614,                 1.9455,               0.028751,              0.0077514,              0.0077514
                     21,                 2.7672,                 1.6781,                 1.6503,                0.06273,                0.21176,                0.03753,                0.01182,                 3.2625,                  3.283,                 1.8977,               0.025136,              0.0081357,              0.0081357
                     22,                 2.6702,                 1.6358,                 1.6127,                0.03085,                0.37294,                0.02802,                0.00764,                 3.5745,                 3.9111,                 2.1662,               0.021519,              0.0085191,              0.0085191
                     23,                 2.6151,                 1.6119,                 1.6254,                0.21325,                0.29059,                0.12805,                0.03678,                 3.0209,                 2.1977,                 1.7651,               0.017902,              0.0089018,              0.0089018
                     24,                 2.6116,                 1.5959,                 1.5773,                0.11724,                0.20353,                0.06305,                0.01569,                 3.3208,                 2.6659,                 1.9621,               0.014284,              0.0092837,              0.0092837
                     25,                  2.548,                 1.5859,                 1.5599,                0.09914,                0.17647,                0.05463,                0.01548,                 3.4008,                 2.5565,                 1.9429,               0.010665,              0.0096648,              0.0096648
                     26,                 2.5058,                  1.536,                 1.5676,                0.20818,                0.24941,                0.11322,                0.02923,                 3.1411,                   2.19,                 1.8166,              0.0097525,              0.0097525,              0.0097525
                     27,                 2.4924,                 1.5721,                 1.5345,                0.06654,                0.25765,                0.04648,                0.01545,                 3.0605,                 3.3836,                 1.9682,              0.0097525,              0.0097525,              0.0097525
                     28,                 2.4949,                 1.5494,                 1.5578,                0.17733,                0.28471,                0.12626,                0.03529,                 3.0127,                 2.3276,                 1.8095,              0.0097426,              0.0097426,              0.0097426
                     29,                 2.4633,                 1.5236,                 1.5111,                0.32505,                0.40588,                0.28648,                0.08775,                 2.7055,                 1.7313,                 1.6876,              0.0097327,              0.0097327,              0.0097327
                     30,                  2.371,                 1.5118,                 1.4959,                0.22551,                0.40626,                0.15655,                0.05019,                  2.716,                 2.0592,                   1.72,              0.0097228,              0.0097228,              0.0097228
                     31,                 2.3713,                 1.4787,                 1.5124,                0.08897,                0.40471,                0.06306,                0.02029,                  2.808,                 3.6602,                 1.8424,              0.0097129,              0.0097129,              0.0097129
                     32,                 2.3734,                 1.4711,                 1.4719,                 0.1711,                0.29882,                0.12799,                0.03913,                 2.6781,                 2.4442,                  1.755,               0.009703,               0.009703,               0.009703
                     33,                 2.3216,                 1.4367,                 1.4709,                0.30822,                0.37882,                0.23839,                0.07695,                 2.6281,                 1.9952,                 1.7398,              0.0096931,              0.0096931,              0.0096931
                     34,                 2.3061,                 1.4412,                 1.4473,                0.32964,                0.34941,                0.25776,                0.07979,                 2.6992,                 1.8608,                 1.7511,              0.0096832,              0.0096832,              0.0096832
                     35,                 2.2985,                 1.4349,                 1.4278,                0.39227,                0.43765,                0.34236,                0.11574,                 2.5854,                 1.5893,                  1.693,              0.0096733,              0.0096733,              0.0096733
