                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9378,                 3.7303,                 4.2271,                0.00019,                0.00353,                  9e-05,                  1e-05,                   4.93,                 3.7285,                 4.1584,                 0.0973,                 0.0003,                 0.0003
                      2,                 4.8025,                 3.5914,                 4.1271,                0.00172,                0.03529,                 0.0009,                0.00023,                 4.3479,                 3.1826,                 3.7952,               0.093698,             0.00069769,             0.00069769
                      3,                 4.2633,                 3.0244,                 3.6857,                0.00149,                0.03059,                0.00083,                0.00026,                 3.7257,                 2.9966,                 3.4428,               0.090093,              0.0010927,              0.0010927
                      4,                 3.7432,                 2.7963,                 3.2884,                0.00299,                0.06118,                0.00189,                0.00057,                 3.5348,                 3.0659,                 3.1716,               0.086485,              0.0014851,              0.0014851
                      5,                 3.6964,                 2.8708,                 3.0351,                0.00224,                0.04588,                0.00129,                0.00049,                 3.4737,                 3.0871,                  2.982,               0.082875,              0.0018749,              0.0018749
                      6,                 3.5891,                 2.6679,                 2.7666,                0.00172,                0.03529,                 0.0009,                0.00034,                 3.3747,                 3.1556,                 2.7321,               0.079262,              0.0022621,              0.0022621
                      7,                 3.5002,                 2.4426,                 2.6147,                0.00098,                   0.02,                 0.0005,                0.00016,                 3.3396,                 3.2908,                 2.5861,               0.075647,              0.0026465,              0.0026465
                      8,                 3.3679,                 2.2649,                 2.5107,                0.01161,                0.23765,                0.00732,                0.00209,                  3.334,                 3.1395,                 2.5259,               0.072028,              0.0030284,              0.0030284
                      9,                 3.2083,                 2.1839,                 2.4258,                0.01345,                0.27529,                0.00871,                0.00258,                 3.3256,                 3.1438,                 2.4846,               0.068408,              0.0034076,              0.0034076
                     10,                 3.0678,                 2.1064,                 2.3449,                0.01362,                0.27882,                0.00891,                0.00257,                 3.3443,                 3.1181,                 2.4645,               0.064784,              0.0037842,              0.0037842
                     11,                 2.9337,                  2.026,                 2.2636,                0.01207,                0.24706,                0.00787,                0.00224,                  3.361,                 3.1959,                 2.4676,               0.061158,              0.0041581,              0.0041581
                     12,                 2.8486,                 1.9827,                 2.1847,                0.01023,                0.20941,                0.00624,                0.00183,                 3.3631,                 3.2457,                 2.4671,               0.057529,              0.0045294,              0.0045294
                     13,                 2.6991,                 1.8837,                 2.1236,                0.01075,                   0.22,                0.00656,                0.00188,                 3.3195,                  3.254,                 2.4104,               0.053898,               0.004898,               0.004898
                     14,                 2.6686,                 1.8206,                 2.0551,                0.01253,                0.25647,                0.00824,                0.00249,                 3.3715,                 3.6238,                 2.4663,               0.050264,               0.005264,               0.005264
                     15,                 2.5886,                 1.7706,                  1.993,                0.01167,                0.23882,                0.00844,                0.00248,                 3.3666,                 3.5193,                 2.5007,               0.046627,              0.0056274,              0.0056274
                     16,                 2.5522,                 1.7541,                  1.952,                0.01052,                0.21529,                0.00765,                0.00245,                 3.3491,                 3.3949,                 2.5004,               0.042988,              0.0059881,              0.0059881
                     17,                 2.4404,                 1.7127,                 1.9025,                0.00529,                0.10824,                0.00329,                0.00092,                  3.448,                  4.811,                 2.6735,               0.039346,              0.0063462,              0.0063462
                     18,                   2.39,                  1.665,                  1.852,                 0.0073,                0.14941,                0.00422,                0.00133,                 3.3328,                 3.7566,                  2.585,               0.035702,              0.0067017,              0.0067017
                     19,                 2.3532,                 1.6222,                  1.839,                0.01246,                0.06588,                0.00543,                0.00155,                 3.3551,                 3.9402,                 2.5915,               0.032054,              0.0070545,              0.0070545
                     20,                 2.3039,                 1.5993,                 1.8018,                0.01141,                0.16471,                0.00716,                0.00238,                 3.2327,                 4.3623,                 2.5225,               0.028405,              0.0074047,              0.0074047
                     21,                 2.2842,                 1.6037,                 1.7975,                0.00813,                0.06941,                0.00378,                0.00099,                 3.3604,                    inf,                 2.6784,               0.024752,              0.0077522,              0.0077522
                     22,                 2.2499,                 1.5657,                 1.7617,                0.01447,                0.09412,                0.00655,                0.00181,                 3.2542,                 9.5565,                 2.5571,               0.021097,              0.0080971,              0.0080971
                     23,                 2.2058,                 1.5558,                 1.7383,                0.01314,                0.09294,                0.00574,                0.00157,                 3.2788,                  9.312,                 2.6028,               0.017439,              0.0084393,              0.0084393
                     24,                 2.1694,                 1.5086,                 1.7059,                0.01235,                0.03975,                  0.003,                0.00074,                 3.3544,                 4.2364,                 2.7961,               0.013779,               0.008779,               0.008779
                     25,                 2.1285,                 1.5072,                 1.6963,                0.15928,                0.12588,                0.05914,                0.01704,                 3.0437,                 3.5173,                 2.5735,               0.010116,              0.0091159,              0.0091159
                     26,                 2.0661,                 1.4916,                 1.6638,                0.12727,                    0.1,                0.03854,                0.00978,                 3.1029,                 4.0542,                 2.5495,               0.009175,               0.009175,               0.009175
                     27,                 2.0882,                 1.4776,                 1.6594,                0.12497,                0.11529,                  0.048,                 0.0127,                 3.0717,                  3.486,                  2.657,               0.009175,               0.009175,               0.009175
                     28,                 2.0455,                 1.4377,                 1.6224,                0.39225,                   0.28,                0.26557,                0.09468,                 2.5541,                 2.3062,                 2.1013,               0.009142,               0.009142,               0.009142
                     29,                 2.0674,                  1.461,                 1.6353,                0.41614,                0.38118,                0.35195,                0.13067,                 2.2959,                 2.0363,                  1.938,               0.009109,               0.009109,               0.009109
