                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9331,                  3.754,                 4.2504,                  6e-05,                0.00118,                  3e-05,                      0,                 4.9303,                 3.7244,                  4.157,                  6e-05,                  6e-05,                  6e-05
                      2,                 4.9337,                  3.746,                 4.2489,                  6e-05,                0.00118,                  3e-05,                      0,                 4.9276,                  3.717,                  4.155,             0.00013954,             0.00013954,             0.00013954
                      3,                 4.9301,                  3.752,                  4.245,                  6e-05,                0.00118,                  3e-05,                      0,                 4.9215,                 3.7143,                 4.1522,             0.00021855,             0.00021855,             0.00021855
                      4,                 4.9977,                 3.7282,                 4.2254,                  6e-05,                0.00118,                  3e-05,                      0,                 4.9178,                 3.7121,                 4.1486,             0.00029703,             0.00029703,             0.00029703
                      5,                 4.9384,                 3.7298,                 4.2077,                  6e-05,                0.00118,                  3e-05,                      0,                 4.9127,                 3.7088,                  4.144,             0.00037498,             0.00037498,             0.00037498
                      6,                 4.9794,                 3.7021,                  4.179,                0.00018,                0.00353,                  9e-05,                  1e-05,                  4.907,                 3.7028,                 4.1392,             0.00045241,             0.00045241,             0.00045241
                      7,                 4.8027,                 3.6621,                 4.1452,                0.00012,                0.00235,                  6e-05,                  1e-05,                 4.8992,                 3.7003,                 4.1339,             0.00052931,             0.00052931,             0.00052931
                      8,                 4.7173,                 3.6254,                 4.1044,                0.00018,                0.00353,                  9e-05,                  1e-05,                  4.889,                 3.6945,                 4.1261,             0.00060568,             0.00060568,             0.00060568
                      9,                 4.6915,                 3.5741,                 4.0353,                0.00012,                0.00235,                  6e-05,                  1e-05,                   4.88,                 3.6915,                 4.1181,             0.00068152,             0.00068152,             0.00068152
                     10,                 4.4676,                 3.4762,                 3.9614,                0.00012,                0.00235,                  6e-05,                  1e-05,                 4.8667,                 3.6844,                 4.1086,             0.00075683,             0.00075683,             0.00075683
                     11,                 4.1768,                 3.3385,                  3.867,                0.00018,                0.00353,                  9e-05,                  1e-05,                 4.8542,                 3.6825,                 4.0994,             0.00083162,             0.00083162,             0.00083162
                     12,                 3.9845,                 3.1761,                 3.7656,                0.00012,                0.00235,                  6e-05,                  1e-05,                 4.8331,                 3.6741,                 4.0846,             0.00090588,             0.00090588,             0.00090588
                     13,                 3.6856,                 2.9785,                 3.6317,                0.00012,                0.00235,                  6e-05,                  1e-05,                 4.8079,                 3.6645,                  4.063,             0.00097961,             0.00097961,             0.00097961
                     14,                 3.6055,                 2.8264,                 3.4549,                0.00018,                0.00353,                  9e-05,                  1e-05,                 4.7633,                 3.6409,                 4.0298,              0.0010528,              0.0010528,              0.0010528
                     15,                 3.5206,                 2.7391,                  3.311,                0.00018,                0.00353,                  9e-05,                  1e-05,                 4.7334,                 3.6234,                 4.0037,              0.0011255,              0.0011255,              0.0011255
                     16,                  3.528,                 2.6255,                 3.1458,                0.00024,                0.00471,                0.00012,                  2e-05,                 4.7081,                  3.606,                 3.9806,              0.0011976,              0.0011976,              0.0011976
                     17,                 3.3758,                 2.5113,                 2.9802,                0.00069,                0.01412,                0.00035,                  6e-05,                  4.655,                 3.5684,                  3.936,              0.0012692,              0.0012692,              0.0012692
                     18,                 3.3113,                 2.3887,                 2.8117,                0.00029,                0.00588,                0.00015,                  2e-05,                 4.6986,                 3.5787,                 3.9602,              0.0013403,              0.0013403,              0.0013403
                     19,                 3.2394,                 2.3208,                 2.6963,                0.00086,                0.01765,                0.00044,                 0.0001,                 4.7662,                 3.6176,                  4.013,              0.0014109,              0.0014109,              0.0014109
                     20,                 3.1413,                 2.2586,                 2.6099,                0.00069,                0.01412,                0.00035,                 0.0001,                 4.9173,                  3.702,                 4.1404,              0.0014809,              0.0014809,              0.0014809
                     21,                  3.059,                 2.2185,                 2.5619,                0.00013,                0.00235,                  7e-05,                  1e-05,                 5.1327,                 3.7609,                 4.3667,              0.0015504,              0.0015504,              0.0015504
                     22,                 3.0342,                  2.143,                 2.4757,                0.00059,                0.01176,                 0.0003,                 0.0001,                 5.1545,                 3.7681,                  4.382,              0.0016194,              0.0016194,              0.0016194
                     23,                 2.9769,                 2.1296,                 2.4303,                0.00086,                0.01765,                0.00093,                0.00018,                 4.9821,                  3.684,                 4.1654,              0.0016879,              0.0016879,              0.0016879
                     24,                 2.9281,                 2.0491,                 2.3567,                0.01254,                0.01529,                0.00212,                0.00044,                 4.9964,                   3.64,                  3.876,              0.0017558,              0.0017558,              0.0017558
                     25,                 2.8662,                 2.0113,                 2.3283,                0.02484,                0.02353,                0.00239,                 0.0005,                 5.0694,                 3.4477,                 3.8704,              0.0018232,              0.0018232,              0.0018232
                     26,                  2.766,                 1.9523,                 2.2553,                0.06867,                0.00824,                0.00278,                0.00078,                 5.1726,                 3.7646,                 4.4094,               0.001835,               0.001835,               0.001835
