                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9331,                  3.754,                 4.2504,                  6e-05,                0.00118,                  3e-05,                      0,                 4.9303,                 3.7244,                  4.157,                 0.0973,                 0.0003,                 0.0003
                      2,                 4.8662,                  3.585,                 4.1894,                0.00057,                0.01176,                0.00029,                  8e-05,                 4.4633,                 3.0803,                 3.8627,               0.093698,             0.00069769,             0.00069769
                      3,                 4.4117,                 3.0911,                 3.8071,                 0.0004,                0.00824,                0.00021,                  8e-05,                 3.7331,                 2.8267,                 3.4696,               0.090093,              0.0010927,              0.0010927
                      4,                 3.9584,                 2.9426,                 3.4088,                0.00017,                0.00353,                  9e-05,                  2e-05,                 3.6077,                 2.9066,                 3.2508,               0.086485,              0.0014851,              0.0014851
                      5,                 3.9158,                 2.9531,                 3.1739,                0.00011,                0.00235,                  6e-05,                  1e-05,                 3.6688,                 2.9493,                 3.1483,               0.082875,              0.0018749,              0.0018749
                      6,                 3.8767,                 2.9341,                 3.0449,                0.00011,                0.00235,                  6e-05,                  1e-05,                 3.7018,                 2.9439,                 3.0966,               0.079262,              0.0022621,              0.0022621
                      7,                 3.9046,                 2.9419,                 3.0476,                  6e-05,                0.00118,                  3e-05,                      0,                 3.6964,                   2.94,                 3.0652,               0.075647,              0.0026465,              0.0026465
                      8,                 3.8869,                 2.9293,                 3.0096,                0.00011,                0.00235,                  6e-05,                  1e-05,                 3.6841,                 2.9155,                 3.0443,               0.072028,              0.0030284,              0.0030284
                      9,                 3.8576,                 2.8959,                 2.9537,                 0.0004,                0.00824,                0.00021,                  4e-05,                  3.687,                 2.8965,                 3.0382,               0.068408,              0.0034076,              0.0034076
                     10,                 3.8536,                 2.8784,                 2.9608,                 0.0008,                0.01647,                0.00042,                0.00013,                 3.6791,                 2.8973,                 3.0274,               0.064784,              0.0037842,              0.0037842
                     11,                 3.8287,                 2.8664,                 2.9647,                 0.0004,                0.00824,                 0.0002,                  4e-05,                 3.6611,                 2.9337,                 3.0114,               0.061158,              0.0041581,              0.0041581
                     12,                  3.809,                 2.8002,                 2.9423,                0.00086,                0.01765,                0.00044,                0.00015,                  3.651,                  2.947,                 3.0042,               0.057529,              0.0045294,              0.0045294
                     13,                 3.7253,                 2.6817,                 2.9386,                0.00345,                0.07059,                0.00185,                0.00055,                 3.6393,                 2.9992,                 2.9949,               0.053898,               0.004898,               0.004898
                     14,                 3.6884,                 2.5352,                 2.8764,                0.00069,                0.01412,                0.00035,                0.00011,                 3.6374,                 3.0716,                 2.9897,               0.050264,               0.005264,               0.005264
                     15,                 3.6404,                 2.4378,                 2.8682,                0.00057,                0.01176,                0.00029,                  6e-05,                  3.633,                 3.1979,                 2.9856,               0.046627,              0.0056274,              0.0056274
                     16,                 3.6049,                 2.3514,                 2.8325,                0.00103,                0.02118,                0.00053,                0.00018,                 3.6313,                 3.3943,                  2.984,               0.042988,              0.0059881,              0.0059881
                     17,                 3.4615,                 2.2349,                 2.8211,                  9e-05,                0.00118,                  5e-05,                  1e-05,                 3.6285,                 3.5427,                 2.9824,               0.039346,              0.0063462,              0.0063462
                     18,                 3.3878,                 2.1634,                 2.7605,                  9e-05,                0.00118,                  5e-05,                  1e-05,                 3.6276,                 3.5915,                  2.983,               0.035702,              0.0067017,              0.0067017
                     19,                 3.3264,                 2.1436,                 2.7315,                  9e-05,                0.00118,                  5e-05,                  1e-05,                 3.6312,                 3.6283,                 2.9813,               0.032054,              0.0070545,              0.0070545
                     20,                 3.2191,                 2.1269,                 2.7005,                0.01863,                0.00706,                0.00977,                0.00459,                 3.6011,                 3.6502,                 2.9779,               0.028405,              0.0074047,              0.0074047
                     21,                 3.1789,                 2.0974,                  2.678,                0.01918,                0.39059,                0.02631,                0.00838,                 3.5653,                 3.3766,                 2.9799,               0.024752,              0.0077522,              0.0077522
                     22,                 3.0938,                 2.0048,                 2.5919,                0.01575,                0.32235,                0.02572,                0.00721,                 3.5705,                 2.9176,                 3.0266,               0.021097,              0.0080971,              0.0080971
                     23,                 3.0357,                 2.0268,                 2.5973,                0.01953,                0.36941,                0.02337,                0.00709,                 3.5021,                 3.2571,                 2.9743,               0.017439,              0.0084393,              0.0084393
                     24,                 2.9833,                 1.9584,                 2.5267,                 0.1329,                0.11765,                0.05438,                0.01353,                 3.6346,                 2.3003,                 3.1656,               0.013779,               0.008779,               0.008779
                     25,                 2.9313,                 1.9251,                  2.507,                0.16468,                0.13882,                0.06499,                0.01513,                 3.6441,                 3.1755,                 3.2724,               0.010116,              0.0091159,              0.0091159
                     26,                 2.8146,                 1.8686,                 2.4406,                0.21905,                0.20471,                0.11888,                0.02827,                 3.3544,                 3.4408,                 3.0856,               0.009175,               0.009175,               0.009175
                     27,                 2.7789,                 1.8457,                   2.39,                0.22447,                0.20466,                0.12107,                0.03275,                 3.3707,                 10.102,                 3.4866,               0.009175,               0.009175,               0.009175
                     28,                 2.6899,                 1.7973,                 2.3045,                0.23436,                0.30941,                0.16939,                0.04864,                 3.0951,                 3.4449,                 3.0264,               0.009142,               0.009142,               0.009142
                     29,                 2.6631,                 1.8056,                 2.3045,                0.28708,                0.39463,                0.24731,                0.07506,                 2.7424,                   2.91,                 2.7017,               0.009109,               0.009109,               0.009109
                     30,                 2.6371,                 1.7399,                 2.2713,                0.23816,                0.30235,                0.16603,                0.04796,                 3.0691,                 2.3333,                 3.0463,               0.009076,               0.009076,               0.009076
                     31,                 2.5592,                 1.7291,                 2.2512,                0.24202,                0.36118,                 0.2015,                0.05649,                 2.9455,                 2.3721,                 3.0705,               0.009043,               0.009043,               0.009043
                     32,                 2.5444,                 1.6996,                  2.178,                0.37694,                   0.42,                0.32714,                0.10685,                 2.5866,                  2.253,                 2.7597,                0.00901,                0.00901,                0.00901
                     33,                  2.476,                 1.6665,                 2.1639,                0.27594,                0.33059,                0.22346,                0.06161,                 2.9556,                 2.1605,                 3.2226,               0.008977,               0.008977,               0.008977
                     34,                 2.4857,                  1.646,                 2.1256,                0.35347,                0.38941,                0.28277,                0.08597,                 2.7923,                 1.9689,                 3.0424,               0.008944,               0.008944,               0.008944
                     35,                 2.4258,                  1.626,                 2.1015,                0.27693,                0.29882,                0.18754,                0.05279,                 2.8447,                 2.3382,                 2.8613,               0.008911,               0.008911,               0.008911
                     36,                 2.3581,                 1.5952,                  2.085,                0.46834,                0.42941,                 0.3955,                0.13815,                 2.4805,                 1.9849,                 2.6363,               0.008878,               0.008878,               0.008878
                     37,                 2.3599,                 1.5931,                 2.0892,                0.43528,                0.36235,                0.34021,                0.10725,                 2.5203,                 2.2793,                  2.634,               0.008845,               0.008845,               0.008845
                     38,                 2.2968,                 1.5668,                 2.0572,                0.51773,                0.40118,                0.41186,                0.14438,                 2.3948,                 2.1299,                 2.5167,               0.008812,               0.008812,               0.008812
                     39,                 2.2858,                 1.5485,                 2.0146,                  0.465,                0.40235,                0.37138,                 0.1331,                 2.4085,                 1.9352,                  2.392,               0.008779,               0.008779,               0.008779
                     40,                 2.2552,                 1.5222,                 1.9889,                0.52623,                0.45176,                0.44988,                0.16402,                 2.3268,                 1.9985,                 2.4061,               0.008746,               0.008746,               0.008746
                     41,                 2.2235,                 1.5144,                 1.9549,                0.49552,                0.45183,                0.41771,                0.15402,                 2.2802,                 1.8095,                 2.2865,               0.008713,               0.008713,               0.008713
                     42,                 2.2057,                 1.4878,                 1.9347,                0.51716,                0.47529,                0.45373,                0.16334,                 2.2915,                 1.6927,                  2.258,                0.00868,                0.00868,                0.00868
                     43,                 2.1779,                  1.496,                 1.9779,                0.53187,                0.47294,                0.46358,                0.17352,                 2.2628,                 1.6323,                 2.2334,               0.008647,               0.008647,               0.008647
                     44,                 2.1592,                 1.4662,                 1.9306,                0.51125,                0.48588,                0.46063,                0.16939,                 2.2626,                 1.7089,                 2.2548,               0.008614,               0.008614,               0.008614
                     45,                 2.1492,                 1.4648,                 1.9297,                0.59566,                0.47412,                0.51049,                0.18386,                 2.1922,                 1.6876,                 2.2077,               0.008581,               0.008581,               0.008581
                     46,                 2.1162,                 1.4366,                 1.8783,                0.47561,                0.44471,                0.41207,                0.14314,                 2.4144,                  1.794,                 2.4064,               0.008548,               0.008548,               0.008548
                     47,                 2.1444,                 1.4586,                 1.8875,                0.60722,                0.45176,                0.49426,                0.17942,                 2.2934,                 1.7384,                 2.3382,               0.008515,               0.008515,               0.008515
                     48,                 2.1227,                 1.4406,                 1.8793,                0.51473,                0.48293,                0.47554,                0.18308,                 2.1655,                 1.6446,                 2.1484,               0.008482,               0.008482,               0.008482
                     49,                 2.1254,                 1.4333,                 1.8799,                0.63479,                0.52145,                0.56893,                0.22467,                 2.0987,                 1.5592,                 2.0898,               0.008449,               0.008449,               0.008449
                     50,                 2.0866,                 1.4164,                 1.8698,                0.62534,                0.51176,                0.55512,                0.22421,                 2.0637,                 1.5713,                 2.0662,               0.008416,               0.008416,               0.008416
                     51,                 2.0785,                 1.4192,                 1.8469,                0.52418,                0.51412,                0.50556,                 0.2055,                 2.0974,                 1.6159,                   2.09,               0.008383,               0.008383,               0.008383
                     52,                 2.0367,                 1.3991,                 1.8258,                0.54211,                0.46353,                0.47248,                0.17842,                 2.2341,                 1.6029,                 2.1711,                0.00835,                0.00835,                0.00835
                     53,                 2.0236,                 1.3937,                 1.7958,                0.62968,                0.55611,                0.59325,                0.24488,                 2.0236,                 1.4866,                 2.0362,               0.008317,               0.008317,               0.008317
                     54,                 2.0544,                 1.3718,                 1.7856,                0.59624,                0.53294,                0.55904,                0.22738,                 2.0733,                 1.5614,                 2.0619,               0.008284,               0.008284,               0.008284
                     55,                  2.045,                 1.3833,                 1.8115,                 0.6304,                0.56706,                0.60344,                0.25785,                  2.028,                 1.4778,                 2.0591,               0.008251,               0.008251,               0.008251
                     56,                 1.9983,                 1.3957,                 1.8498,                0.64873,                0.58011,                0.61697,                0.24981,                 2.0387,                 1.4345,                 2.0667,               0.008218,               0.008218,               0.008218
                     57,                 1.9901,                 1.3649,                 1.7904,                0.65194,                0.55412,                 0.6267,                0.26878,                  1.952,                 1.4483,                 1.9915,               0.008185,               0.008185,               0.008185
                     58,                 1.9771,                 1.3767,                 1.8188,                0.62913,                   0.58,                0.62414,                0.26727,                  1.956,                 1.4192,                 1.9775,               0.008152,               0.008152,               0.008152
                     59,                 1.9671,                 1.3567,                 1.7772,                 0.6477,                0.58399,                0.63386,                0.27091,                 1.9294,                 1.4326,                 1.9749,               0.008119,               0.008119,               0.008119
                     60,                 1.9418,                 1.3537,                 1.7605,                0.64322,                0.55059,                0.59676,                0.25155,                 1.9885,                  1.462,                 2.0146,               0.008086,               0.008086,               0.008086
                     61,                 1.9727,                  1.354,                 1.7757,                0.62481,                0.56034,                0.61315,                0.27026,                 1.9716,                 1.3869,                 1.9668,               0.008053,               0.008053,               0.008053
                     62,                 1.9634,                 1.3452,                 1.7891,                0.63262,                0.61587,                0.64108,                0.28204,                 1.9276,                 1.3495,                 1.9579,                0.00802,                0.00802,                0.00802
                     63,                 1.9631,                  1.353,                 1.7734,                0.64463,                0.58471,                0.62742,                0.27895,                 1.9163,                 1.3779,                 1.9348,               0.007987,               0.007987,               0.007987
                     64,                 1.9133,                 1.3112,                 1.7353,                0.67631,                0.61452,                0.65985,                0.29638,                 1.8794,                 1.3349,                  1.927,               0.007954,               0.007954,               0.007954
