                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.2705,                 3.8486,                 4.2282,                      0,                      0,                      0,                      0,                 6.4797,                 3.7932,                 4.1569,                 0.0973,                 0.0003,                 0.0003
                      2,                 6.1772,                  3.702,                 4.0557,                0.00046,                0.00941,                0.00024,                  6e-05,                 6.1277,                 3.1597,                 3.5851,               0.093699,             0.00069931,             0.00069931
                      3,                 5.4726,                 3.0669,                 3.4362,                0.00282,                0.05765,                0.00196,                0.00048,                  5.253,                 2.7778,                 3.0589,               0.090098,              0.0010978,              0.0010978
                      4,                 4.7165,                 2.6145,                 2.9414,                0.00707,                0.14471,                0.00433,                0.00124,                 4.2642,                 2.5458,                 2.7053,               0.086496,              0.0014955,              0.0014955
                      5,                 4.1859,                  2.534,                 2.6149,                 0.0123,                0.25176,                 0.0077,                 0.0021,                 3.8835,                 2.6453,                 2.5491,               0.082892,              0.0018925,              0.0018925
                      6,                 4.0192,                 2.4398,                  2.354,                0.00322,                0.06588,                0.00173,                0.00062,                 3.8274,                 2.7043,                 2.3938,               0.079289,              0.0022886,              0.0022886
                      7,                 3.9005,                 2.4456,                 2.1752,                0.00092,                0.01882,                0.00047,                0.00013,                  3.682,                 2.8918,                 2.2361,               0.075684,               0.002684,               0.002684
                      8,                 3.7842,                  2.313,                 2.0617,                0.00011,                0.00235,                  6e-05,                  1e-05,                 3.6575,                 3.0643,                 2.1785,               0.072079,              0.0030785,              0.0030785
                      9,                 3.6902,                 2.1641,                 1.9876,                0.00029,                0.00588,                0.00014,                  2e-05,                  3.654,                 3.2028,                 2.1468,               0.068472,              0.0034723,              0.0034723
                     10,                 3.5681,                 2.0978,                 1.9254,                0.00023,                0.00471,                0.00012,                  1e-05,                 3.6417,                 3.2738,                 2.1355,               0.064865,              0.0038653,              0.0038653
                     11,                 3.4335,                 2.0072,                 1.8833,                0.00178,                0.03647,                0.00092,                0.00029,                 3.6222,                 3.3024,                 2.1268,               0.061257,              0.0042574,              0.0042574
                     12,                 3.3587,                 1.9903,                   1.82,                0.00787,                0.16118,                0.00509,                0.00123,                   3.59,                 3.1699,                 2.0423,               0.057649,              0.0046488,              0.0046488
                     13,                 3.2168,                 1.9058,                 1.7561,                0.00167,                0.03412,                0.00086,                0.00033,                 3.6125,                 3.4096,                  2.082,               0.054039,              0.0050394,              0.0050394
                     14,                 3.1794,                 1.8659,                 1.7054,                0.00368,                0.07529,                0.00198,                0.00069,                 3.5849,                 3.4797,                 2.0051,               0.050429,              0.0054292,              0.0054292
                     15,                 3.0953,                 1.8427,                 1.6764,                0.00483,                0.09882,                0.00265,                0.00079,                 3.5369,                 3.4004,                 1.9114,               0.046818,              0.0058182,              0.0058182
                     16,                 3.0285,                 1.7957,                 1.6407,                0.01425,                0.29176,                0.01122,                0.00271,                 3.5334,                 3.3547,                 1.9298,               0.043206,              0.0062064,              0.0062064
                     17,                 2.9047,                 1.7425,                 1.6206,                0.01351,                0.27647,                0.01463,                 0.0037,                 3.5489,                 3.3562,                 1.9347,               0.039594,              0.0065939,              0.0065939
                     18,                 2.8385,                 1.6727,                 1.5736,                0.01057,                0.21647,                0.01584,                0.00327,                 3.6016,                 3.3967,                 1.9896,               0.035981,              0.0069805,              0.0069805
                     19,                 2.8136,                 1.6628,                  1.558,                0.01172,                   0.24,                0.01107,                 0.0023,                 3.6403,                 3.4679,                 2.0135,               0.032366,              0.0073663,              0.0073663
                     20,                 2.7195,                  1.607,                 1.5367,                0.01615,                0.33059,                0.01651,                 0.0035,                 3.5764,                   3.34,                 1.8846,               0.028751,              0.0077514,              0.0077514
                     21,                 2.6803,                 1.5922,                 1.5337,                0.01494,                0.30588,                0.01566,                0.00311,                 3.5566,                  3.535,                 1.9009,               0.025136,              0.0081357,              0.0081357
                     22,                 2.6926,                 1.5812,                 1.4996,                0.01406,                0.28588,                0.01175,                0.00257,                 3.6455,                 3.6703,                 2.0244,               0.021519,              0.0085191,              0.0085191
