                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9331,                  3.754,                 4.2504,                  6e-05,                0.00118,                  3e-05,                      0,                 4.9303,                 3.7244,                  4.157,                 0.0973,                 0.0003,                 0.0003
                      2,                 4.8217,                 3.6265,                  4.147,                 0.0008,                0.01647,                0.00044,                0.00012,                 4.3741,                 3.2492,                 3.8021,               0.093698,             0.00069769,             0.00069769
                      3,                 4.3057,                 3.1661,                 3.7199,                0.00236,                0.04824,                0.00126,                0.00047,                 3.7856,                 2.9895,                 3.4713,               0.090093,              0.0010927,              0.0010927
                      4,                  3.787,                 2.9405,                 3.3196,                0.00195,                   0.04,                0.00104,                0.00039,                 3.5329,                 2.8899,                 3.1494,               0.086485,              0.0014851,              0.0014851
                      5,                 3.6698,                 3.0145,                 2.9839,                0.00167,                0.03412,                0.00087,                0.00031,                 3.4685,                 3.1734,                 2.9487,               0.082875,              0.0018749,              0.0018749
                      6,                  3.599,                 2.9714,                 2.8072,                0.00224,                0.04588,                0.00117,                0.00038,                 3.3993,                 3.1197,                 2.7622,               0.079262,              0.0022621,              0.0022621
                      7,                 3.5438,                 2.8474,                 2.6848,                0.00207,                0.04235,                0.00108,                0.00036,                  3.362,                 3.0299,                 2.6479,               0.075647,              0.0026465,              0.0026465
                      8,                 3.4626,                   2.66,                 2.5907,                0.00098,                   0.02,                0.00051,                0.00019,                 3.3289,                 3.1618,                 2.6042,               0.072028,              0.0030284,              0.0030284
                      9,                 3.3408,                  2.481,                 2.5197,                0.01339,                0.27412,                  0.009,                0.00258,                  3.318,                 3.1058,                 2.5946,               0.068408,              0.0034076,              0.0034076
                     10,                 3.2274,                 2.3864,                 2.4734,                0.01374,                0.28118,                0.01004,                0.00283,                 3.3087,                 3.2179,                 2.5552,               0.064784,              0.0037842,              0.0037842
                     11,                 3.1332,                 2.3071,                 2.4139,                0.01443,                0.29529,                0.01233,                0.00334,                 3.3353,                 3.2112,                  2.518,               0.061158,              0.0041581,              0.0041581
                     12,                 3.0326,                 2.2348,                 2.3185,                0.00161,                0.03294,                0.00088,                0.00024,                 3.3512,                 3.3831,                 2.4712,               0.057529,              0.0045294,              0.0045294
                     13,                 2.9039,                 2.1156,                   2.27,                0.00075,                0.01529,                0.00039,                  8e-05,                 3.3917,                 3.6481,                 2.5052,               0.053898,               0.004898,               0.004898
                     14,                  2.842,                  2.047,                 2.2019,                0.00154,                0.03059,                0.00081,                0.00029,                 3.5396,                 3.6035,                  2.525,               0.050264,               0.005264,               0.005264
                     15,                 2.7683,                 1.9918,                 2.1615,                 0.0006,                0.00824,                0.00031,                 0.0001,                 3.5493,                 3.6955,                  2.521,               0.046627,              0.0056274,              0.0056274
                     16,                 2.7328,                 1.9231,                  2.094,                0.00011,                0.00118,                  6e-05,                  1e-05,                 3.4969,                 3.8753,                 2.5511,               0.042988,              0.0059881,              0.0059881
                     17,                 2.6001,                 1.8718,                 2.0212,                0.00025,                0.00353,                0.00013,                  3e-05,                 3.5508,                 3.9398,                 2.6108,               0.039346,              0.0063462,              0.0063462
                     18,                 2.5198,                 1.8021,                 1.9644,                0.00025,                0.00353,                0.00013,                  3e-05,                 3.6237,                 3.9165,                 2.6898,               0.035702,              0.0067017,              0.0067017
                     19,                 2.5216,                 1.7879,                 1.9647,                0.00025,                0.00353,                0.00013,                  3e-05,                 3.5459,                 4.2137,                 2.6282,               0.032054,              0.0070545,              0.0070545
                     20,                 2.4341,                 1.7566,                 1.9094,                0.00025,                0.00353,                0.00013,                  3e-05,                 3.6071,                 4.2291,                 2.6671,               0.028405,              0.0074047,              0.0074047
                     21,                 2.4225,                 1.7884,                 1.9016,                0.00025,                0.00353,                0.00013,                  3e-05,                 3.5076,                 4.4472,                 2.6628,               0.024752,              0.0077522,              0.0077522
                     22,                 2.3823,                 1.7202,                  1.854,                0.00025,                0.00353,                0.00013,                  3e-05,                 3.5116,                 4.4854,                 2.7211,               0.021097,              0.0080971,              0.0080971
                     23,                 2.3522,                 1.6991,                 1.8583,                0.00025,                0.00353,                0.00013,                  3e-05,                 3.5784,                 4.6219,                 2.7844,               0.017439,              0.0084393,              0.0084393
                     24,                 2.3284,                   1.69,                 1.8288,                0.01603,                0.11882,                0.01671,                0.00534,                 3.5664,                 4.4769,                 2.6819,               0.013779,               0.008779,               0.008779
                     25,                 2.2767,                 1.6748,                 1.8083,                  0.019,                0.20353,                0.03906,                0.01252,                 3.1796,                 4.2276,                 2.4124,               0.010116,              0.0091159,              0.0091159
                     26,                 2.2166,                 1.6332,                 1.7786,                 0.0539,                0.06353,                0.02373,                0.00768,                 3.0814,                 3.8675,                 2.4363,               0.009175,               0.009175,               0.009175
                     27,                 2.2453,                 1.6179,                 1.7667,                0.16679,                0.05529,                0.04456,                0.01472,                 3.0579,                 4.0632,                  2.357,               0.009175,               0.009175,               0.009175
                     28,                 2.1744,                 1.5637,                 1.7163,                0.29865,                0.24941,                0.19958,                 0.0621,                 2.6136,                 2.4762,                 2.1403,               0.009142,               0.009142,               0.009142
                     29,                 2.1873,                 1.5962,                 1.7259,                0.47166,                0.33412,                0.32718,                0.11579,                 2.4478,                 2.1999,                 2.0402,               0.009109,               0.009109,               0.009109
                     30,                 2.1426,                 1.5563,                 1.6966,                0.38571,                   0.36,                0.30146,                0.10392,                 2.4223,                 2.0868,                 1.9978,               0.009076,               0.009076,               0.009076
                     31,                 2.1153,                   1.55,                 1.6913,                 0.3186,                0.31684,                 0.2705,                0.09136,                 2.4457,                 2.2209,                 1.9467,               0.009043,               0.009043,               0.009043
                     32,                  2.141,                 1.5232,                 1.6705,                0.46354,                0.37059,                0.37852,                0.13683,                 2.3007,                 2.0827,                 1.9079,                0.00901,                0.00901,                0.00901
                     33,                 2.0683,                 1.4967,                 1.6505,                0.44715,                0.41059,                0.39819,                0.14461,                 2.2706,                 1.9403,                 1.8749,               0.008977,               0.008977,               0.008977
                     34,                  2.109,                 1.5218,                  1.655,                0.46315,                0.44862,                0.41002,                  0.158,                 2.2252,                 1.9364,                 1.8568,               0.008944,               0.008944,               0.008944
                     35,                 2.0631,                 1.4977,                 1.6366,                 0.4649,                0.49176,                0.44024,                0.16498,                 2.2169,                 1.7223,                 1.8508,               0.008911,               0.008911,               0.008911
                     36,                 1.9915,                 1.4643,                  1.606,                0.51105,                0.47956,                0.49547,                0.18828,                 2.1798,                 1.6652,                 1.8214,               0.008878,               0.008878,               0.008878
                     37,                 1.9918,                 1.4636,                 1.6074,                0.53605,                0.50824,                0.51626,                0.20404,                 2.1283,                 1.6278,                 1.7605,               0.008845,               0.008845,               0.008845
                     38,                 1.9486,                 1.4383,                 1.5837,                0.53217,                0.52588,                0.50908,                0.20332,                 2.1436,                 1.6111,                 1.8218,               0.008812,               0.008812,               0.008812
                     39,                 1.9454,                 1.4225,                 1.5704,                0.59831,                0.51519,                0.52793,                0.21539,                 2.1262,                 1.6709,                 1.7632,               0.008779,               0.008779,               0.008779
                     40,                 1.9691,                 1.4336,                 1.5813,                 0.6172,                0.51882,                0.53767,                0.20935,                 2.1356,                 1.7155,                 1.7501,               0.008746,               0.008746,               0.008746
                     41,                 1.9633,                 1.4023,                 1.5683,                0.49041,                0.42588,                0.42103,                0.15923,                 2.2746,                 1.7871,                 1.8564,               0.008713,               0.008713,               0.008713
                     42,                 1.9404,                 1.3971,                 1.5535,                0.56842,                0.51059,                0.53052,                0.21127,                 2.0943,                  1.547,                 1.7424,                0.00868,                0.00868,                0.00868
                     43,                 1.9351,                 1.4122,                 1.5856,                0.59676,                0.55294,                0.55936,                0.22605,                 2.0317,                 1.5315,                 1.6935,               0.008647,               0.008647,               0.008647
                     44,                 1.9096,                 1.3939,                 1.5689,                0.58461,                0.53294,                0.53003,                0.21788,                 2.0337,                 1.5669,                  1.737,               0.008614,               0.008614,               0.008614
                     45,                 1.9095,                 1.3774,                 1.5671,                0.61771,                0.54938,                0.59591,                0.24585,                 1.9728,                 1.5441,                 1.6575,               0.008581,               0.008581,               0.008581
                     46,                 1.8738,                 1.3408,                 1.5302,                0.53291,                0.50588,                0.49391,                0.18962,                 2.0344,                 1.6659,                 1.6682,               0.008548,               0.008548,               0.008548
                     47,                 1.8954,                 1.3599,                 1.5403,                0.52651,                0.53505,                 0.5288,                0.21081,                 2.0026,                 1.6185,                 1.6549,               0.008515,               0.008515,               0.008515
                     48,                 1.8856,                 1.3567,                  1.531,                0.60932,                0.55882,                0.58058,                0.23994,                 1.9327,                 1.5619,                  1.608,               0.008482,               0.008482,               0.008482
                     49,                 1.8764,                 1.3253,                   1.54,                0.60775,                0.58353,                0.60678,                0.25285,                 1.9771,                 1.4731,                 1.6461,               0.008449,               0.008449,               0.008449
                     50,                 1.8519,                 1.3171,                 1.5133,                 0.6268,                0.55523,                 0.5698,                0.24907,                 1.9608,                 1.5955,                 1.6239,               0.008416,               0.008416,               0.008416
                     51,                  1.851,                 1.3231,                  1.508,                0.67658,                0.57176,                0.61365,                 0.2624,                 1.9435,                  1.494,                 1.6426,               0.008383,               0.008383,               0.008383
                     52,                 1.8246,                 1.3026,                 1.4894,                0.54058,                    0.5,                0.48731,                0.20991,                 1.9851,                 1.7583,                 1.6782,                0.00835,                0.00835,                0.00835
                     53,                 1.8103,                 1.3077,                  1.485,                0.65094,                0.61647,                0.64846,                0.29481,                 1.8544,                 1.3673,                 1.6228,               0.008317,               0.008317,               0.008317
