                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4637,                  3.561,                 2.1114,                0.01276,                0.26118,                0.00846,                0.00349,                 2.0593,                 3.4249,                 1.8105,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.4147,                 3.5446,                 2.0709,                0.02218,                0.45412,                0.01806,                0.00822,                 1.6772,                 3.2983,                  1.465,             0.00013954,             0.00013954,             0.00013954
                      3,                 1.9181,                 3.3428,                 1.6102,                0.03615,                   0.74,                0.04788,                0.02206,                 1.5655,                 3.1575,                 1.3225,             0.00021855,             0.00021855,             0.00021855
                      4,                  1.718,                 2.9451,                 1.4031,                0.04132,                0.84588,                0.15785,                0.07653,                 1.6046,                 2.9177,                 1.3306,             0.00029703,             0.00029703,             0.00029703
                      5,                 1.6756,                 2.5111,                 1.3254,                 0.0526,                0.86235,                0.51082,                0.24165,                 1.5496,                 2.6274,                 1.2645,             0.00037498,             0.00037498,             0.00037498
                      6,                 1.6707,                 2.1317,                 1.3069,                0.88379,                0.33105,                0.57378,                 0.2612,                 1.5685,                 2.5304,                 1.2774,             0.00045241,             0.00045241,             0.00045241
                      7,                 1.6583,                 1.8298,                  1.303,                0.84342,                0.26706,                0.60833,                0.29654,                 1.5674,                 2.2936,                 1.2376,             0.00052931,             0.00052931,             0.00052931
                      8,                 1.6148,                 1.6063,                 1.2995,                0.75652,                0.40209,                0.61132,                0.29327,                 1.6123,                 2.1209,                 1.2856,             0.00060568,             0.00060568,             0.00060568
                      9,                 1.5904,                 1.4501,                 1.2966,                0.69311,                0.51546,                0.61773,                0.29971,                  1.632,                 1.9796,                 1.3356,             0.00068152,             0.00068152,             0.00068152
                     10,                 1.5363,                 1.3408,                 1.2815,                0.76483,                0.57775,                0.70815,                 0.3575,                 1.5263,                 1.9396,                 1.3127,             0.00075683,             0.00075683,             0.00075683
                     11,                  1.478,                 1.2807,                 1.2685,                0.72972,                0.58941,                0.68054,                0.35629,                  1.483,                 1.8561,                 1.3007,             0.00083162,             0.00083162,             0.00083162
                     12,                 1.4591,                 1.2182,                 1.2629,                0.74109,                0.67647,                0.74003,                0.38645,                 1.4101,                 1.7009,                 1.2973,             0.00090588,             0.00090588,             0.00090588
                     13,                 1.3974,                 1.1563,                 1.2561,                0.76906,                0.72478,                 0.7815,                0.41849,                 1.4195,                 1.5809,                 1.3357,             0.00097961,             0.00097961,             0.00097961
                     14,                 1.4041,                  1.141,                 1.2357,                0.72242,                0.69197,                0.72997,                0.37955,                  1.442,                 1.6992,                 1.3236,              0.0010528,              0.0010528,              0.0010528
                     15,                  1.387,                 1.1052,                 1.2279,                 0.7546,                0.72471,                 0.7598,                0.41875,                 1.4206,                 1.4769,                 1.3339,              0.0011255,              0.0011255,              0.0011255
                     16,                 1.3904,                 1.0916,                 1.2221,                0.76092,                0.72824,                0.77165,                0.42466,                 1.3868,                 1.4659,                 1.3072,              0.0011976,              0.0011976,              0.0011976
                     17,                 1.3483,                  1.059,                 1.2046,                0.75484,                0.64476,                0.71947,                0.38673,                 1.4904,                 1.4925,                 1.3791,              0.0012692,              0.0012692,              0.0012692
                     18,                 1.3488,                 1.0596,                 1.2086,                0.76219,                0.68471,                 0.7475,                0.41167,                 1.4452,                 1.5027,                 1.3219,              0.0013403,              0.0013403,              0.0013403
                     19,                 1.3274,                 1.0228,                 1.1854,                0.75236,                0.71412,                 0.7618,                0.42448,                  1.437,                 1.3688,                 1.3444,              0.0014109,              0.0014109,              0.0014109
                     20,                 1.3146,                 1.0058,                 1.1957,                0.79308,                0.72471,                0.79883,                0.46032,                 1.3495,                 1.4632,                  1.258,              0.0014809,              0.0014809,              0.0014809
                     21,                 1.2928,                0.98064,                 1.1722,                0.77796,                0.72547,                0.78372,                0.44233,                 1.3928,                  1.311,                   1.32,              0.0015504,              0.0015504,              0.0015504
                     22,                 1.3228,                0.98905,                   1.17,                0.74431,                0.74588,                0.75632,                0.41227,                 1.4556,                 1.3212,                 1.3114,              0.0016194,              0.0016194,              0.0016194
                     23,                 1.3025,                0.95918,                 1.1741,                 0.7828,                0.70387,                0.76669,                0.43345,                 1.4133,                 1.2948,                 1.3239,              0.0016879,              0.0016879,              0.0016879
                     24,                 1.3193,                0.97205,                  1.174,                0.69401,                0.69412,                0.69714,                0.36408,                 1.5176,                 1.3013,                 1.3736,              0.0017558,              0.0017558,              0.0017558
                     25,                 1.3242,                0.96504,                 1.1784,                0.79589,                0.71294,                0.79232,                0.43352,                  1.468,                 1.1903,                 1.3857,              0.0018232,              0.0018232,              0.0018232
                     26,                 1.2752,                0.93763,                  1.175,                0.74761,                0.71882,                0.76629,                0.42271,                 1.4485,                 1.2177,                 1.3432,               0.001835,               0.001835,               0.001835
