                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.2705,                 3.8486,                 4.2282,                      0,                      0,                      0,                      0,                 6.4797,                 3.7932,                 4.1569,                 0.0973,                 0.0003,                 0.0003
                      2,                 6.1774,                 3.7022,                 4.0554,                0.00046,                0.00941,                0.00024,                  6e-05,                 6.1267,                 3.1666,                  3.582,               0.093698,             0.00069769,             0.00069769
                      3,                 5.4681,                 3.0652,                  3.436,                0.00299,                0.06118,                0.00191,                0.00036,                 5.2022,                 2.8114,                 3.0372,               0.090093,              0.0010927,              0.0010927
                      4,                 4.7178,                 2.6138,                  2.942,                0.01057,                0.21647,                0.00681,                0.00175,                 4.1422,                 2.5502,                 2.6535,               0.086485,              0.0014851,              0.0014851
                      5,                 4.1855,                 2.5383,                 2.6193,                0.00368,                0.07529,                0.00225,                0.00065,                  3.854,                 2.6226,                 2.5104,               0.082875,              0.0018749,              0.0018749
                      6,                 4.0145,                 2.4446,                 2.3545,                0.00282,                0.05765,                0.00153,                0.00047,                 3.8678,                 2.7659,                 2.3483,               0.079262,              0.0022621,              0.0022621
                      7,                 3.8946,                  2.454,                 2.1727,                0.00109,                0.02235,                0.00056,                0.00022,                  3.695,                 3.0004,                 2.1853,               0.075647,              0.0026465,              0.0026465
                      8,                 3.7918,                 2.3206,                 2.0594,                0.00098,                   0.02,                 0.0005,                0.00015,                 3.6415,                 3.0334,                 2.1122,               0.072028,              0.0030284,              0.0030284
                      9,                 3.6934,                 2.1656,                 1.9828,                0.00092,                0.01882,                0.00047,                0.00015,                 3.6294,                 3.1343,                 2.0612,               0.068408,              0.0034076,              0.0034076
                     10,                 3.5649,                 2.0936,                 1.9155,                 0.0008,                0.01647,                0.00041,                0.00012,                 3.6041,                  3.178,                 2.0127,               0.064784,              0.0037842,              0.0037842
                     11,                 3.4351,                 2.0168,                 1.8766,                0.00868,                0.17765,                 0.0053,                0.00128,                 3.5881,                 3.2313,                 1.9988,               0.061158,              0.0041581,              0.0041581
                     12,                 3.3676,                 1.9924,                 1.8299,                0.01167,                0.23882,                0.00944,                0.00216,                 3.5755,                 3.1238,                 1.9412,               0.057529,              0.0045294,              0.0045294
                     13,                  3.219,                 1.9108,                 1.7558,                0.01287,                0.26353,                0.01006,                0.00229,                 3.5784,                 3.0715,                 1.8832,               0.053898,               0.004898,               0.004898
                     14,                 3.1819,                 1.8614,                 1.7036,                0.01339,                0.27412,                0.01274,                0.00295,                 3.5677,                 3.0355,                 1.8521,               0.050264,               0.005264,               0.005264
                     15,                 3.1127,                 1.8501,                 1.6722,                0.01391,                0.28471,                0.02802,                0.00666,                 3.4888,                 2.9446,                 1.8473,               0.046627,              0.0056274,              0.0056274
